抓取时间,抓取时刻,订单号,安,非,赔,保,农,订单标题,金额(元）,年利率,期限（月）,还款方式,每月还款金额,进度,借款状态,剩余时间,结束时间,总投标数,浏览量,借款id,借入信用等级,借入信用分数,借出信用分数,成功次数,流标次数,身份认证,视频认证,学历认证,手机认证,借款目的,性别,年龄,婚姻状况,文化程度,住宅状况,是否购车,户口所在地,毕业学校,学历,学习形式,网站认证,淘宝网认证,卖家信用等级（皇冠数*10+钻石数*1）,关于我,我想要使用这笔款项做什么,我的还款能力说明
2014/05/12,16:23:24,100049,0,0,0,0,0,创办掌上娱乐网站,20000,5,12,等额本息，每月还款,1712,0.00,投标已结束,,2007/8/30,0,17,agen,E,26,10,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:23:28,100050,0,0,0,0,0,专职妈妈开实体店铺,30000,7,6,等额本息，每月还款,5114,8.83,投标已结束,,2007/8/28,8,127,jmmry,E,28,10,0,7,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:23:33,100051,0,0,0,0,0,投资--外汇投资,100000,10,12,等额本息，每月还款,8792,0.00,投标已结束,,2007/9/10,0,25,aileenzlp,HR,22,0,0,5,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:23:45,100052,0,0,0,0,0,零售网站运营费用借款，利息高 ,5000,16,6,等额本息，每月还款,873,4.00,投标已结束,,2007/8/27,1,26,bjly2008,E,29,10,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:23:49,100053,0,0,0,0,0,做个试验看现在买港股能否赚钱,50000,8,3,等额本息，每月还款,16912,6.70,投标已结束,,2007/8/29,7,68,gary,D,65,45524,2,4,0,1,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:23:58,100054,0,0,0,0,0,真的能借到5000块么？,5000,16,6,等额本息，每月还款,873,0.00,投标已结束,,2007/8/31,0,19,semico,E,32,10,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:24:04,100055,0,0,0,0,0,公司小股东，用于电线电缆备库存。,10000,24,3,等额本息，每月还款,3468,1.00,投标已结束,,2007/8/30,1,43,mop,E,29,10,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:24:12,100056,0,0,0,0,0,自己的地皮盖房子出售,100000,10,18,等额本息，每月还款,6006,0.00,投标已结束,,2007/8/31,0,26,shiyuwu,HR,24,10,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:24:17,100057,0,0,0,0,0,短期现金周转顺道增加信用等级,5000,6,6,等额本息，每月还款,848,8.00,投标已结束,,2007/9/12,3,105,kea,E,38,1538,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:24:20,100058,0,0,0,0,0,借钱买电脑!十一之后就还!谢谢大家!,5000,8,2,等额本息，每月还款,2528,0.00,投标已结束,,2007/8/28,0,58,wwt1988,HR,16,0,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:24:24,100059,0,0,0,0,0,短期资金周转入 入驻淘宝商城的保证金,5000,12,3,等额本息，每月还款,1700,6.00,投标已结束,,2007/8/28,1,67,tuyulin,HR,24,10,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:24:33,100061,0,0,0,0,0,项目投资，急需资金，以诚待人。,100000,24,6,等额本息，每月还款,17853,0.00,投标已结束,,2007/9/1,0,8,liangyunlong,HR,13,0,0,4,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:24:40,100063,0,0,0,0,0,项目投资，急需资金，以诚待人。,100000,24,6,等额本息，每月还款,17853,0.00,投标已结束,,2007/9/1,0,14,liangyunlong,HR,13,0,0,4,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:24:44,100064,0,0,0,0,0,项目投资，急需资金，以诚待人！,80000,24,6,等额本息，每月还款,14282,0.00,投标已结束,,2007/9/2,0,55,liangyunlong,HR,13,0,0,4,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:24:53,100065,0,0,0,0,0,急需资金周转 请求帮助 谢谢大家啦！,15000,12,12,等额本息，每月还款,1333,0.00,投标已结束,,2007/8/29,0,54,tudunqi,HR,16,0,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:25:00,100066,0,0,0,0,0,急需资金周转 谢谢大家啦！,5000,12,2,等额本息，每月还款,2538,0.00,投标已结束,,2007/8/28,0,43,tudunqi,HR,16,0,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:25:08,100067,0,0,0,0,0,生活资讯类网站创业筹款,20000,10,12,等额本息，每月还款,1758,0.00,投标已结束,,2007/9/3,0,35,9425813,HR,18,0,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:25:18,100068,0,0,0,0,0,图文信息网=地方代理股份合作发展,100000,26,12,等额本息，每月还款,9553,0.00,投标已结束,,2007/9/11,0,56,ywywh,E,40,20,0,1,0,0,0,1,,,,,,,,,,,,0,,,,,
2014/05/12,16:25:21,100069,0,0,0,0,0,专职妈妈开实体店铺前期投资,5000,5,1,等额本息，每月还款,5021,2.00,投标已结束,,2007/8/30,1,35,jmmry,E,28,10,0,7,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:25:25,100070,0,0,0,0,0,自己的地皮盖房子出售,6000,10,12,等额本息，每月还款,527,0.00,投标已结束,,2007/9/13,0,20,awfer1,HR,19,256,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:25:29,100071,0,0,0,0,0,专职妈妈开实体店铺,30000,20,6,等额本息，每月还款,5296,5.00,投标已结束,,2007/9/4,5,96,jmmry,E,28,10,0,7,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:25:37,100072,0,0,0,0,0,造房子急需周转资金,5000,15,6,等额本息，每月还款,870,0.00,投标已结束,,2007/9/3,0,30,liuyaoxin,E,31,10,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:25:41,100073,0,0,0,0,0,入驻品牌商城保证金,5000,20,1,等额本息，每月还款,5083,0.00,投标已结束,,2007/9/1,0,30,tuyulin,HR,24,10,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:25:45,100074,0,0,0,0,0,本人装修店面资金不足,50000,12,24,等额本息，每月还款,2354,0.00,投标已结束,,2007/9/15,0,34,mhm558,HR,10,0,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
